ID,Label
1,3.129053116
2,3.10415554
3,3.077065468
4,3.072014809
5,3.071949005
6,3.097674847
7,3.087287903
8,3.08862114
9,3.049792767
10,3.102267265
11,3.123971462
12,3.085085392
13,3.062932968
14,3.059277534
15,3.130230427
16,3.062789917
17,3.130433559
18,3.100078583
19,3.08570528
20,3.08605957
21,3.096094131
22,3.094135284
23,3.122809887
24,3.101422787
25,3.079158783
26,3.084913731
27,3.095615387
28,3.083940506
29,3.083352566
30,3.116621017
31,3.063809395
32,3.077991486
33,3.083208084
34,3.049064159
35,3.061756611
36,3.089169979
37,3.110486507
38,3.083775997
39,3.113449574
40,3.075940609
41,3.08371067
42,3.052438259
43,3.078466892
44,3.103385925
45,3.087715149
46,3.092346191
47,3.076691151
48,3.088479042
49,3.107803822
50,3.13455677
51,3.10022831
52,3.082341194
53,3.062397957
54,3.099183559
55,3.082780838
56,3.110972881
57,3.081738949
58,3.08962965
59,3.1102705
60,3.088730335
61,3.069331646
62,3.091433525
63,3.114066124
64,3.10201025
65,3.091499805
66,3.08062315
67,3.090536594
68,3.076449871
69,3.089468002
70,3.07778883
71,3.100766182
72,3.112928867
73,3.065082073
74,3.038793087
75,3.095826626
76,3.092397213
77,3.111818314
78,3.103988647
79,3.098097324
80,3.081745148
81,3.107139111
82,3.068176746
83,3.083949089
84,3.059072018
85,3.094517708
86,3.051928997
87,3.05781889
88,3.112658501
89,3.092918873
90,3.100328445
91,3.097131729
92,3.069948196
93,3.057182312
94,3.078993797
95,3.127834797
96,3.07019186
97,3.111159801
98,3.075627804
99,3.067298412
100,3.048611164
101,3.103637218
102,3.081789017
103,3.059663773
104,3.085121155
105,3.091032505
106,3.087639332
107,3.1096735
108,3.081305027
109,3.073816299
110,3.049798965
111,3.086205959
112,3.094964981
113,3.094692707
114,3.085683823
115,3.101456165
116,3.07256031
117,3.104304314
118,3.104062557
119,3.065458775
120,3.070358753
121,3.083316326
122,3.080662727
123,3.116032124
124,3.118221283
125,3.09189558
126,3.09098053
127,3.108697891
128,3.051211834
129,3.09360981
130,3.093971252
131,3.051905632
132,3.072387695
133,3.117987633
134,3.06779623
135,3.070327759
136,3.093536377
137,3.090155602
138,3.076857567
139,3.077143669
140,3.099846363
141,3.104473114
142,3.062982559
143,3.123733044
144,3.105056286
145,3.070623398
146,3.105609417
147,3.090709209
148,3.070439339
149,3.075436115
150,3.076227188
151,3.096662045
152,3.070419788
153,3.110581398
154,3.065102577
155,3.065504074
156,3.10258913
157,3.095647335
158,3.083214283
159,3.102514744
160,3.086975574
161,3.108384609
162,3.102108479
163,3.099687099
164,3.05186367
165,3.087213993
166,3.097696304
167,3.08947134
168,3.102324963
169,3.065443993
170,3.062552929
171,3.104620934
172,3.105186462
173,3.053152084
174,3.061160564
175,3.096075535
176,3.109940529
177,3.067716599
178,3.069696426
179,3.098483086
180,3.08228159
181,3.088525295
182,3.119688034
183,3.075696468
184,3.091686726
185,3.067854881
186,3.092434883
187,3.059135914
188,3.101099491
189,3.139119625
190,3.121729374
191,3.057166576
192,3.113302231
193,3.091181278
194,3.110806942
195,3.080337524
196,3.050413132
197,3.109073639
198,3.112934113
199,3.097200871
200,3.116380215
201,3.096259594
202,3.072962761
203,3.07956171
204,3.121955872
205,3.087587357
206,3.098583221
207,3.106912136
208,3.074536324
209,3.115129948
210,3.08591938
211,3.143616676
212,3.106054306
213,3.051670551
214,3.116006374
215,3.059022427
216,3.078974247
217,3.088596344
218,3.07222414
219,3.067425251
220,3.057132721
221,3.1162076
222,3.087067604
223,3.092607975
224,3.108167648
225,3.087806702
226,3.081652164
227,3.049230099
