ID,Label
1,3.2112126
2,2.675583
3,3.2613273
4,2.762611
5,3.2430542
6,2.8119648
7,2.5411115
8,3.5116854
9,3.5975657
10,2.3732586
11,3.3292513
12,3.5874605
13,3.0024996
14,2.8647442
15,3.162531
16,2.8913069
17,3.4873295
18,2.9547029
19,2.9362454
20,2.2778797
21,3.1528711
22,3.2247005
23,3.1562376
24,2.9896576
25,3.7697232
26,3.1820736
27,3.0225334
28,2.5728889
29,3.181754
30,2.8465614
31,2.6414533
32,2.9618392
33,2.6001103
34,2.6645052
35,3.293181
36,2.258183
37,3.260087
38,1.9893703
39,3.602384
40,2.6933537
41,3.7011135
42,2.459227
43,3.5577097
44,3.0057938
45,3.1078582
46,2.5298536
47,3.129984
48,3.0644422
49,2.181725
50,3.1899507
51,3.5729313
52,3.2478766
53,2.7284098
54,3.5614235
55,3.2797556
56,3.4039278
57,3.7088947
58,2.98175
59,2.77464
60,2.6999855
61,2.3528705
62,3.449797
63,2.6205564
64,3.929274
65,2.9964685
66,4.190185
67,2.5919788
68,2.1790853
69,3.423702
70,2.980987
71,3.7585979
72,3.652658
73,3.8588424
74,3.3168614
75,3.2222981
76,2.7701306
77,3.0201082
78,3.341115
79,3.1856847
80,3.2595296
81,3.0499134
82,2.9463348
83,3.3961403
84,3.4632246
85,3.4041805
86,3.655076
87,3.3961816
88,2.9925318
89,3.031578
90,2.0318618
91,3.0530689
92,3.0482259
93,3.1208625
94,2.888928
95,3.4513178
96,3.0453768
97,2.9588337
98,3.1895905
99,2.8876076
100,3.1465988
101,2.9143958
102,2.4282994
103,2.7920935
104,3.5040288
105,3.76075
106,3.0388727
107,2.4123452
108,2.554666
109,3.1076577
110,1.6959416
111,3.306451
112,2.498386
113,2.8237467
114,2.371869
115,3.4820175
116,2.3748071
117,3.2245448
118,3.7510643
119,3.1904056
120,2.4893916
121,3.180581
122,2.5468118
123,3.0812886
124,3.528439
125,2.8836884
126,3.3064356
127,2.9651217
128,3.1407685
129,2.6565661
130,2.956559
131,2.8829427
132,3.3037765
133,3.0943193
134,2.7050934
135,2.6843684
136,2.796946
137,2.8438714
138,2.737394
139,2.4977386
140,3.5387945
141,3.5292232
142,2.3262138
143,2.87843
144,3.1302767
145,2.3273923
146,2.8873672
147,2.9471867
148,2.752791
149,3.512604
150,3.2987049
151,3.8609962
152,2.5841799
153,3.0027003
154,2.5332046
155,3.2394905
156,3.4560122
157,3.127644
158,3.242853
159,3.431652
160,3.2239668
161,3.1732237
162,3.2170048
163,3.430276
164,2.59391
165,3.3807232
166,2.4926727
167,3.0268483
168,3.046426
169,3.747941
170,2.3488865
171,3.1593156
172,3.6805103
173,2.6326497
174,2.5016918
175,2.6374474
176,3.3843136
177,2.3545246
178,2.5332842
179,3.6915298
180,3.7303889
181,2.5150394
182,2.8681314
183,3.6626165
184,3.1347852
185,3.3909526
186,4.114455
187,2.5160508
188,3.441319
189,3.9050221
190,3.837919
191,2.867632
192,3.7500477
193,2.6087317
194,3.658535
195,3.3147173
196,3.539126
197,3.1536171
198,4.0604568
199,3.6749518
200,2.9835248
201,3.0784025
202,2.709198
203,3.1346943
204,3.1250014
205,3.0385826
206,3.400607
207,2.9238534
208,2.6758237
209,3.367916
210,2.5128865
211,3.357132
212,3.2396684
213,1.9770702
214,3.0688162
215,3.1390204
216,3.0000658
217,2.1903589
218,3.1590424
219,3.509912
220,3.0370836
221,3.5951452
222,3.3303752
223,3.4069943
224,3.0090241
225,3.0753398
226,3.5992775
227,3.3469234
